Segment,State,Category,SubCategory,Sales,Quantity,Discount,Profit,Shipping Cost
Consumer,New York,Technology,Accessories,2309.65,7,0,762.1845,933.57
Corporate,California,Office Supplies,Binders,5083.96,5,0.2,1906.485,867.69
Consumer,North Carolina,Furniture,Tables,4297.644,13,0.4,-1862.3124,865.74
Corporate,Virginia,Office Supplies,Supplies,4164.05,5,0,83.281,846.54
Corporate,Kentucky,Technology,Accessories,2249.91,9,0,517.4793,780.7
Consumer,Illinois,Technology,Phones,2735.952,6,0.2,341.994,752.51
Home Office,California,Technology,Phones,4158.912,8,0.2,363.9048,714.66
Consumer,Texas,Furniture,Chairs,2453.43,5,0.3,-350.49,690.42
Consumer,California,Furniture,Tables,3610.848,12,0.2,135.4068,683.12
Consumer,New York,Technology,Machines,2799.96,4,0,1371.9804,675.15
Corporate,North Carolina,Technology,Machines,7999.98,4,0.5,-3839.9904,674.82
Consumer,Minnesota,Office Supplies,Binders,9449.95,5,0,4630.4755,655.61
Consumer,New York,Office Supplies,Binders,3050.376,3,0.2,1143.891,632.05
Corporate,California,Technology,Copiers,2399.96,5,0.2,839.986,630.05
Corporate,Washington,Technology,Copiers,3149.93,7,0,1480.4671,617.92
Consumer,Florida,Technology,Phones,4367.896,13,0.2,327.5922,609.44
Corporate,New York,Technology,Machines,4643.8,4,0,2229.024,607.34
Corporate,Virginia,Office Supplies,Appliances,2104.55,7,0,694.5015,594.02
Consumer,Georgia,Office Supplies,Binders,6354.95,5,0,3177.475,581.12
Consumer,Michigan,Office Supplies,Binders,5443.96,4,0,2504.2216,567.95
Consumer,Pennsylvania,Furniture,Chairs,4416.174,9,0.3,-630.882,566.65
Corporate,Nevada,Furniture,Tables,1685.88,6,0,320.3172,548.08
Home Office,Washington,Furniture,Tables,2036.86,7,0,366.6348,524.76
Corporate,New Jersey,Technology,Machines,9099.93,7,0,2365.9818,516.91
Consumer,California,Technology,Machines,2973.32,7,0.2,334.4985,510.18
Corporate,California,Office Supplies,Storage,1261.33,7,0,327.9458,506.49
Consumer,New York,Technology,Machines,6999.96,4,0,2239.9872,499.55
Consumer,Michigan,Office Supplies,Binders,9892.74,13,0,4946.37,498.7
Home Office,Virginia,Furniture,Tables,2244.48,7,0,493.7856,498.14
Consumer,Pennsylvania,Technology,Copiers,8399.976,4,0.4,1119.9968,498.08
Consumer,Massachusetts,Furniture,Chairs,1628.82,9,0,260.6112,496.46
Corporate,California,Furniture,Chairs,1603.136,4,0.2,100.196,489.6
Consumer,Wisconsin,Furniture,Chairs,2807.84,8,0,673.8816,487.15
Consumer,California,Technology,Machines,4476.8,4,0.2,503.64,485.47
Home Office,California,Furniture,Chairs,2054.272,8,0.2,256.784,480.56
Consumer,New York,Furniture,Chairs,1931.04,9,0.1,321.84,477.15
Corporate,Michigan,Technology,Machines,3059.982,2,0.1,679.996,471.22
Consumer,Texas,Furniture,Bookcases,2396.2656,4,0.32,-317.1528,469.16
Consumer,New York,Technology,Machines,4899.93,7,0,2400.9657,466.33
Consumer,Oklahoma,Technology,Accessories,1287.45,5,0,244.6155,457.14
Consumer,Ohio,Technology,Machines,4499.985,5,0.7,-6599.978,451.63
Home Office,New York,Technology,Phones,2399.6,8,0,647.892,449.45
Consumer,North Carolina,Technology,Machines,2624.985,3,0.5,-944.9946,443.69
Corporate,Georgia,Technology,Copiers,2999.95,5,0,1439.976,439.69
Home Office,Nevada,Office Supplies,Binders,4535.976,3,0.2,1644.2913,431.68
Corporate,California,Technology,Phones,2575.944,7,0.2,257.5944,429.66
Corporate,Delaware,Office Supplies,Storage,2934.33,7,0,792.2691,428.8
Consumer,New Jersey,Furniture,Bookcases,2154.9,5,0,129.294,426.05
Home Office,New York,Technology,Machines,3404.5,5,0,1668.205,419.06
Home Office,Rhode Island,Office Supplies,Storage,1606.23,9,0,481.869,418.26
Consumer,New York,Technology,Phones,1214.85,3,0,352.3065,417.47
Corporate,California,Furniture,Chairs,1348.704,6,0.2,-219.1644,415.69
Consumer,Ohio,Technology,Copiers,1439.976,4,0.4,191.9968,408.79
Home Office,California,Technology,Copiers,3359.952,6,0.2,1049.985,400.6
Consumer,Pennsylvania,Office Supplies,Supplies,4663.736,7,0.2,-1049.3406,400.04
Consumer,New York,Office Supplies,Binders,4305.552,6,0.2,1453.1238,398.64
Consumer,Michigan,Furniture,Chairs,1586.69,7,0,412.5394,397.52
Home Office,Washington,Technology,Machines,2395.2,6,0.2,209.58,396.92
Consumer,New York,Technology,Phones,1259.97,3,0,327.5922,394.57
Home Office,Washington,Furniture,Tables,1913.4,9,0,401.814,386.21
Corporate,Michigan,Furniture,Chairs,3504.9,5,0,700.98,383.35
Corporate,Texas,Technology,Machines,3059.982,3,0.4,-509.997,380.77
Home Office,Washington,Technology,Accessories,1687.8,4,0,742.632,379.56
Corporate,Virginia,Office Supplies,Binders,2715.93,7,0,1276.4871,378.83
Consumer,New Jersey,Office Supplies,Appliances,2625.12,8,0,735.0336,366.72
Consumer,California,Office Supplies,Appliances,1101.48,4,0,429.5772,364.76
Consumer,California,Office Supplies,Binders,1016.792,1,0.2,381.297,363.87
Corporate,California,Technology,Copiers,1199.976,3,0.2,374.9925,363.78
Consumer,Delaware,Technology,Copiers,10499.97,3,0,5039.9856,363.19
Corporate,Pennsylvania,Office Supplies,Storage,1801.632,6,0.2,-337.806,356.88
Consumer,Florida,Technology,Machines,695.7,2,0.5,-27.828,356.68
Consumer,Ohio,Technology,Accessories,2025.36,6,0.2,607.608,355.61
Consumer,Kentucky,Technology,Machines,3080,7,0,1416.8,351.01
Corporate,Missouri,Technology,Copiers,4899.93,7,0,2302.9671,350.09
Corporate,Indiana,Technology,Copiers,17499.95,5,0,8399.976,349.07
Consumer,New York,Furniture,Tables,1090.782,7,0.4,-290.8752,348.18
Corporate,Alabama,Technology,Accessories,1319.96,4,0,527.984,345.77
Home Office,Pennsylvania,Furniture,Tables,2065.32,12,0.4,-619.596,344.98
Corporate,California,Furniture,Bookcases,1552.831,7,0.15,200.9546,343.97
Consumer,Georgia,Technology,Phones,2939.93,7,0,764.3818,343.25
Consumer,Texas,Technology,Machines,8159.952,8,0.4,-1359.992,342.11
Consumer,New York,Technology,Phones,4548.81,7,0,1228.1787,338.56
Consumer,California,Office Supplies,Binders,895.92,5,0.2,302.373,337.16
Consumer,California,Furniture,Bookcases,3406.664,8,0.15,160.3136,335.64
Home Office,Indiana,Technology,Copiers,999.98,2,0,449.991,334.26
Home Office,California,Technology,Copiers,2879.952,6,0.2,1007.9832,334.15
Corporate,Pennsylvania,Office Supplies,Storage,1801.632,6,0.2,-337.806,324.93
Home Office,New York,Technology,Phones,1079.85,3,0,323.955,319.04
Corporate,Michigan,Furniture,Chairs,1458.65,5,0,423.0085,315.73
Home Office,New York,Furniture,Bookcases,899.136,4,0.2,112.392,314.38
Consumer,New York,Office Supplies,Binders,663.92,5,0.2,207.475,314.27
Corporate,Wisconsin,Furniture,Chairs,1951.84,8,0,585.552,312.22
Consumer,Nebraska,Technology,Phones,2479.96,4,0,743.988,312.14
Consumer,New York,Furniture,Chairs,3785.292,6,0.1,420.588,309.69
Consumer,California,Technology,Accessories,1399.93,7,0,601.9699,309.52
Corporate,Alabama,Technology,Machines,3040,8,0,1459.2,307.85
Corporate,Virginia,Technology,Phones,3499.93,7,0,909.9818,305.29
Consumer,Pennsylvania,Office Supplies,Binders,1369.764,6,0.7,-913.176,296.1
Consumer,Washington,Furniture,Tables,2665.62,9,0,239.9058,294.17
Home Office,New York,Technology,Machines,1704.89,11,0,767.2005,291.68
Consumer,Rhode Island,Furniture,Chairs,1604.9,5,0,481.47,289.82
Consumer,Louisiana,Office Supplies,Supplies,1665.62,2,0,33.3124,287.77
Consumer,New York,Technology,Machines,3999.95,5,0,1159.9855,286.44
Corporate,Illinois,Technology,Copiers,2799.96,5,0.2,874.9875,286.3
Corporate,California,Technology,Machines,1919.976,3,0.2,215.9973,282.43
Corporate,North Carolina,Furniture,Tables,876.3,10,0.4,-292.1,278.5
Corporate,Ohio,Furniture,Tables,1421.664,8,0.4,-734.5264,277.66
Home Office,New York,Technology,Machines,3991.98,2,0,1995.99,276.89
Consumer,Pennsylvania,Technology,Copiers,1799.97,5,0.4,239.996,276.7
Home Office,Utah,Technology,Copiers,1499.95,5,0,449.985,276.23
Consumer,Washington,Furniture,Tables,1618.37,13,0,356.0414,275.6
Home Office,Missouri,Office Supplies,Appliances,1927.59,7,0,751.7601,274.82
Consumer,Texas,Technology,Accessories,1399.944,7,0.2,52.4979,273.79
Consumer,Georgia,Office Supplies,Storage,1350.12,6,0,175.5156,273.44
Consumer,New York,Furniture,Tables,1044.63,5,0.4,-295.9785,271.32
Consumer,Minnesota,Office Supplies,Binders,1793.98,2,0,843.1706,271.12
Consumer,Washington,Furniture,Chairs,2404.704,6,0.2,150.294,269.03
Corporate,California,Furniture,Tables,2887.056,9,0.2,180.441,268.1
Consumer,Texas,Office Supplies,Binders,1525.188,6,0.8,-2287.782,263.47
Corporate,Missouri,Office Supplies,Supplies,4164.05,5,0,83.281,262.42
Home Office,Rhode Island,Furniture,Chairs,872.32,4,0,244.2496,260.38
Home Office,Washington,Furniture,Tables,2348.82,9,0,399.2994,259.81
Consumer,Pennsylvania,Office Supplies,Appliances,1924.16,8,0.2,312.676,259.62
Home Office,Kentucky,Furniture,Chairs,2573.82,9,0,746.4078,258.99
Consumer,Pennsylvania,Furniture,Chairs,1079.316,6,0.3,-15.4188,258.42
Consumer,Georgia,Furniture,Bookcases,1266.86,7,0,291.3778,254.77
Consumer,Ohio,Office Supplies,Storage,1006.056,3,0.2,88.0299,254.13
Home Office,Rhode Island,Technology,Copiers,5399.91,9,0,2591.9568,254.03
Consumer,California,Technology,Copiers,2799.96,5,0.2,944.9865,253.33
Consumer,Texas,Office Supplies,Supplies,3930.072,3,0.2,-786.0144,253.2
Consumer,Texas,Technology,Copiers,1999.96,5,0.2,624.9875,252.11
Corporate,Indiana,Office Supplies,Appliances,2405.2,8,0,793.716,252
Consumer,California,Furniture,Chairs,1212.96,7,0.2,90.972,251.88
Home Office,New Hampshire,Technology,Accessories,2249.91,9,0,517.4793,248.96
Consumer,Florida,Furniture,Chairs,2803.92,5,0.2,0,246.07
Corporate,California,Technology,Phones,1626.192,9,0.2,121.9644,245.6
Corporate,Georgia,Office Supplies,Binders,2690.97,3,0,1264.7559,244.88
Home Office,Ohio,Furniture,Chairs,899.43,5,0.3,-12.849,243.89
Home Office,New York,Furniture,Chairs,2621.322,11,0.1,553.3902,243.77
Home Office,California,Furniture,Tables,1673.184,12,0.2,20.9148,242.63
Consumer,Pennsylvania,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,242.6
Consumer,Arizona,Technology,Phones,742.336,8,0.2,83.5128,241.86
Corporate,Ohio,Office Supplies,Appliances,795.408,6,0.2,59.6556,241.68
Consumer,Massachusetts,Technology,Phones,979.95,5,0,284.1855,240.88
Consumer,New York,Technology,Machines,1349.85,3,0,364.4595,240.11
Corporate,Washington,Furniture,Tables,3393.68,8,0,610.8624,240.06
Corporate,Kentucky,Furniture,Chairs,975.92,4,0,292.776,238.51
Corporate,Virginia,Furniture,Tables,1202.94,3,0,300.735,237.41
Consumer,Louisiana,Furniture,Tables,1504.52,4,0,346.0396,236.63
Corporate,New York,Office Supplies,Appliances,2504.74,7,0,626.185,235.83
Consumer,Colorado,Technology,Phones,1983.968,4,0.2,247.996,235.13
